Keyword,Search Volume,Keyword Difficulty,Position,Traffic,topic,content_type,priority_score,competitor,archive
knife super steels,50,7.0,2,1,steel_types,Informational Post,4.46,koi,0
ww1 knife with brass knuckles,70,14.0,1,2,knife_types,Informational Post,4.46,noblie,0
silicon electrical steel sheet,70,14.0,1,2,steel_types,Informational Post,4.46,koi,0
different paracord sizes,50,7.0,1,1,comparison,Comparison,4.46,noblie,0
what is kiritsuke knife used for,50,7.0,1,1,knife_types,Comparison,4.46,koi,0
pandugappa fish,110,27.0,1,0,cooking,Informational Post,4.46,koi,0
wooden handle paring knife,50,7.0,1,1,knife_types,Informational Post,4.46,koi,0
knife laws in rhode island,70,14.0,2,2,knife_laws,Informational Post,4.46,noblie,0
knife laws nebraska,90,15.0,5,3,knife_laws,Informational Post,4.45,noblie,0
knife licking,90,21.0,1,2,knife_types,Informational Post,4.44,koi,0
what is the legal size of a knife,90,21.0,2,2,knife_laws,Informational Post,4.44,noblie,0
knifemaker,320,62.0,16,0,knife_types,How-to Tutorial,4.44,noblie,0
cut with knife,260,37.0,37,0,knife_types,Informational Post,4.43,koi,0
toy karambit knife,90,22.0,1,5,knife_types,Informational Post,4.43,noblie,0
what knives do chefs use,260,37.0,42,0,cooking,How-to Tutorial,4.43,insight,0
arabic dagger,110,28.0,3,2,knife_types,Informational Post,4.43,noblie,0
legal size knife,260,37.0,67,0,knife_laws,Informational Post,4.43,shieldon,0
the world's sharpest blade,110,21.0,4,4,knife_types,Comparison,4.43,noblie,0
tell me about s 30 v steel,70,9.0,4,0,steel_types,Informational Post,4.42,noblie,0
aztec weapon macuahuitl,140,38.0,3,1,other,Informational Post,4.42,noblie,0
what does hrc stand for,210,28.0,60,0,comparison,How-to Tutorial,4.42,noblie,0
best budget chef's knife,210,28.0,32,0,knife_types,List Post,4.42,insight,0
best pocket knife brand,210,28.0,37,0,knife_types,List Post,4.42,noblie,0
what brand knives does gordon ramsay use,70,9.0,9,0,comparison,How-to Tutorial,4.42,insight,0
guns etc az,70,9.0,7,0,other,Informational Post,4.42,noblie,0
using an ulu,70,9.0,4,0,other,Informational Post,4.42,noblie,0
kitchen knife names,210,28.0,93,0,knife_types,Informational Post,4.42,noblie,0
damascus copper,70,14.0,1,1,steel_types,Informational Post,4.42,noblie,0
are switchblade knives legal,210,28.0,40,0,knife_laws,Informational Post,4.42,shieldon,0
ohio knife laws 2025,70,9.0,10,0,knife_laws,News/Update,4.42,noblie,0
yanagiba meaning,70,9.0,7,0,other,Informational Post,4.42,koi,0
best angle for sharpening knives,70,9.0,4,0,maintenance,How-to Tutorial,4.42,noblie,0
best blade steels,70,9.0,4,0,steel_types,List Post,4.42,noblie,0
types of knife tangs,70,9.0,9,0,knife_types,List Post,4.42,koi,0
best bargain knife set,210,28.0,46,0,knife_types,List Post,4.42,insight,0
cuisinart mixer vs kitchenaid,210,28.0,57,0,comparison,Comparison,4.42,insight,0
hardness unit,140,28.0,4,0,other,Informational Post,4.42,noblie,0
are switchblades legal in new york,210,28.0,53,0,knife_laws,Comparison,4.42,koi,0
how to braid paracord lanyard,140,28.0,4,0,comparison,How-to Tutorial,4.42,noblie,0
cpm s30v stainless,70,9.0,7,0,steel_types,Informational Post,4.42,noblie,0
what does hrc stand for,210,28.0,21,0,comparison,How-to Tutorial,4.42,koi,0
best knife blocks,210,28.0,54,0,knife_types,List Post,4.42,insight,0
michigan legal knife length,90,15.0,6,2,knife_laws,Informational Post,4.41,noblie,0
superstitions about knives,40,4.0,2,3,other,Informational Post,4.41,koi,0
hangetsu giri,40,4.0,2,3,other,Informational Post,4.41,koi,0
blue faced honeyeater bird,110,10.0,30,0,other,Informational Post,4.4,koi,0
knife carrying laws in texas,110,15.0,19,0,knife_laws,Informational Post,4.4,noblie,0
154cm stainless steel,110,10.0,46,0,steel_types,Informational Post,4.4,shieldon,0
knife heat treating,110,10.0,28,0,knife_types,Informational Post,4.4,noblie,0
is a dull knife more dangerous,110,10.0,55,0,knife_types,Comparison,4.4,insight,0
are otf knives legal in washington,110,15.0,11,0,knife_laws,Informational Post,4.4,shieldon,0
butterfly knife legal in texas,110,10.0,77,0,knife_laws,Informational Post,4.4,shieldon,0
are butterfly knives illegal in idaho,110,10.0,59,0,knife_laws,Informational Post,4.4,shieldon,0
japan knife laws,110,10.0,39,0,knife_laws,Informational Post,4.4,shieldon,0
are kitchenaid knives good,90,21.0,2,1,cooking,Informational Post,4.4,insight,0
are otf knives legal in washington,110,15.0,15,0,knife_laws,Informational Post,4.4,noblie,0
knife throwing tips,110,20.0,6,0,knife_types,Informational Post,4.4,noblie,0
sharpen serrated edge knife,110,10.0,95,0,knife_types,How-to Tutorial,4.4,noblie,0
korean dagger,110,10.0,84,0,knife_types,Comparison,4.4,shieldon,0
best japanese knife makers,110,10.0,25,0,knife_types,How-to Tutorial,4.4,insight,0
texas law knife carry,110,15.0,19,0,knife_laws,Informational Post,4.4,noblie,0
best knife for cutting steak,110,10.0,47,0,knife_types,Comparison,4.4,insight,0
knife tang types,110,10.0,28,0,knife_types,List Post,4.4,koi,0
australian present ideas,110,20.0,9,0,other,List Post,4.4,koi,0
forged damascus knife,110,10.0,23,0,steel_types,Comparison,4.4,noblie,0
vanadium knife,110,15.0,16,0,knife_types,Informational Post,4.4,zhangxiaoquan,0
best budget pocket knives,110,10.0,57,0,outdoor,List Post,4.4,noblie,0
japan knife laws,110,10.0,36,0,knife_laws,Informational Post,4.4,noblie,0
knife steels comparison,110,10.0,26,0,steel_types,Informational Post,4.4,noblie,0
best angle for sharpening knife,110,15.0,15,0,knife_types,How-to Tutorial,4.4,noblie,0
define boning knife,110,15.0,16,0,knife_types,Informational Post,4.4,noblie,0
benchmade knife angle,110,10.0,33,0,knife_types,Informational Post,4.4,noblie,0
blade anatomy,110,15.0,19,0,knife_types,Informational Post,4.4,koi,0
types of knives for cooking,110,10.0,86,0,comparison,Comparison,4.4,noblie,0
ohio knife length laws,110,15.0,14,0,knife_laws,Informational Post,4.4,noblie,0
good deer gutting knife,110,10.0,66,0,knife_types,Informational Post,4.4,noblie,0
to cut in japanese,90,21.0,1,1,other,Informational Post,4.4,koi,0
blade hq steel chart,110,10.0,28,0,steel_types,Informational Post,4.4,noblie,0
what is an illegal knife in texas,110,10.0,47,0,knife_laws,Informational Post,4.4,shieldon,0
what angle to sharpen knife,110,10.0,80,0,knife_types,How-to Tutorial,4.4,insight,0
snap on bbq set,170,21.0,58,0,other,Informational Post,4.39,shieldon,0
knife to skin a deer,170,21.0,52,0,knife_types,Informational Post,4.39,noblie,0
are otf knives legal in pa,170,21.0,53,0,knife_laws,Informational Post,4.39,shieldon,0
vegetable chef knife,170,21.0,51,0,knife_types,Informational Post,4.39,insight,0
boning knife used for,170,21.0,45,0,knife_types,Comparison,4.39,insight,0
how to use a whetting stone,170,21.0,74,0,maintenance,How-to Tutorial,4.39,insight,0
shileleigh,110,28.0,3,1,other,Informational Post,4.39,noblie,0
oldest knife,170,21.0,74,0,knife_types,Informational Post,4.39,koi,0
vegetable chef knife,170,21.0,68,0,knife_types,Informational Post,4.39,koi,0
are switchblades legal in ma,170,21.0,29,0,knife_laws,Informational Post,4.39,noblie,0
animals with knives,170,21.0,67,0,other,Informational Post,4.39,koi,0
laws on carrying knives uk,170,21.0,46,0,knife_laws,Informational Post,4.39,insight,0
legal pocket knife length,140,29.0,6,2,knife_laws,Informational Post,4.39,noblie,0
material steak knives,170,21.0,35,0,other,Informational Post,4.39,insight,0
are switchblades legal in ma,170,21.0,31,0,knife_laws,Informational Post,4.39,shieldon,0
knives weapon,260,61.0,5,0,other,Informational Post,4.39,koi,0
boning knife used for,170,21.0,51,0,knife_types,Comparison,4.39,noblie,0
420hc steel vs d2,70,6.0,11,0,steel_types,Comparison,4.38,noblie,0
new york state knife carry laws,70,6.0,15,0,knife_laws,Comparison,4.38,noblie,0
what knives are legal in new york,70,6.0,11,0,knife_laws,Comparison,4.38,noblie,0
knife laws florida length,70,6.0,11,0,knife_laws,Comparison,4.38,noblie,0
what knives are legal in new york,70,6.0,14,0,knife_laws,Comparison,4.38,koi,0
carving vs slicing knife,70,6.0,12,0,knife_types,Comparison,4.38,koi,0
granton blade santoku knife purpose,70,6.0,13,0,knife_types,Informational Post,4.38,insight,0
glock 81 field knife,70,6.0,14,0,knife_types,Informational Post,4.38,noblie,0
where is the butterfly knife illegal,140,22.0,19,0,knife_laws,Informational Post,4.38,noblie,0
german brand knives,210,38.0,20,0,other,Informational Post,4.38,noblie,0
pattern welded,70,6.0,17,0,other,Informational Post,4.38,noblie,0
carrying knives in california,70,6.0,20,0,knife_laws,Comparison,4.38,noblie,0
knife carry laws,210,38.0,14,0,knife_laws,Informational Post,4.38,noblie,0
wombat zoo,70,14.0,3,0,other,Informational Post,4.38,koi,0
what knife is legal in nyc,70,6.0,14,0,knife_laws,Informational Post,4.38,noblie,0
knife logo identification,70,6.0,17,0,knife_types,Informational Post,4.38,noblie,0
sharpening hand tools,70,14.0,2,0,maintenance,How-to Tutorial,4.38,koi,0
are gravity knives legal in colorado,70,6.0,15,0,knife_laws,How-to Tutorial,4.38,noblie,0
blood groove on knife,70,14.0,2,0,knife_types,Informational Post,4.38,noblie,0
blade material,70,6.0,15,0,knife_types,Informational Post,4.38,noblie,0
glock field knife 81,70,6.0,15,0,knife_types,Informational Post,4.38,noblie,0
stainless steel rockwell hardness,70,14.0,1,0,steel_types,Informational Post,4.38,noblie,0
tanto cooking knife,40,1.0,7,0,knife_types,Informational Post,4.36,koi,0
knife laws in iowa,90,15.0,6,1,knife_laws,Informational Post,4.36,noblie,0
sharpness unit,40,1.0,9,0,other,Informational Post,4.36,koi,0
can you carry a pocket knife in new york city,40,1.0,7,0,knife_laws,Comparison,4.36,koi,0
sword types and names,110,29.0,2,3,knife_types,Comparison,4.36,noblie,0
s30v steel sharpening,40,1.0,7,0,steel_types,How-to Tutorial,4.36,noblie,0
tri ad lock vs lock back,40,1.0,5,0,comparison,Comparison,4.36,noblie,0
hand forged damascus chef knife,40,1.0,5,0,steel_types,Comparison,4.36,noblie,0
where to buy knives,480,78.0,25,0,other,Informational Post,4.36,noblie,0
what are fullers,170,29.0,13,0,other,Informational Post,4.36,noblie,0
makoto kurosaki knife,40,1.0,7,0,knife_types,Informational Post,4.36,noblie,0
wwi knife,90,22.0,1,3,knife_types,Informational Post,4.35,noblie,0
knife ideas,90,22.0,1,3,knife_types,List Post,4.35,noblie,0
picture of black swan,90,22.0,1,3,other,Informational Post,4.35,koi,0
sharpest scalpel,90,22.0,3,3,other,Informational Post,4.35,noblie,0
kershaw by kai japan,90,21.0,2,0,other,Informational Post,4.35,zhangxiaoquan,0
paracord lanyard tutorial,140,29.0,7,1,comparison,How-to Tutorial,4.35,noblie,0
boning knofe,90,21.0,1,0,other,Informational Post,4.35,koi,0
ククリナイフ,110,21.0,4,2,other,Informational Post,4.34,noblie,0
yemen sword,140,31.0,4,6,knife_types,Comparison,4.34,noblie,0
best knife sharpener stone,110,28.0,1,0,knife_types,How-to Tutorial,4.34,koi,0
what does an emu look like,320,49.0,25,0,other,How-to Tutorial,4.34,koi,0
how do you make a knife out of paper,110,28.0,3,0,knife_types,How-to Tutorial,4.34,noblie,0
lyrebir,170,50.0,2,2,other,Informational Post,4.33,koi,0
top ten knife sets,260,38.0,32,0,knife_types,List Post,4.33,insight,0
20cv vs m390,40,4.0,1,1,steel_types,Comparison,4.33,noblie,0
кукри,40,4.0,1,1,other,Informational Post,4.33,noblie,0
sinkevich knives,50,4.0,6,1,other,Informational Post,4.33,noblie,0
best sharp knives,260,38.0,74,0,other,List Post,4.33,insight,0
austenitic definition,260,38.0,85,0,other,Informational Post,4.33,koi,0
best barlow knife,50,4.0,5,1,knife_types,List Post,4.33,noblie,0
rack knives,50,4.0,5,1,other,Informational Post,4.33,koi,0
what weapons did the aztecs use,260,38.0,54,0,other,Informational Post,4.33,noblie,0
latrobe steel co,90,15.0,8,0,steel_types,Informational Post,4.32,koi,0
collect knives,90,15.0,7,0,other,Informational Post,4.32,koi,0
collect knives,90,15.0,10,0,other,Informational Post,4.32,noblie,0
delaware knife laws,90,15.0,7,0,knife_laws,Informational Post,4.32,noblie,0
paracord breaking strength,90,15.0,9,0,comparison,Comparison,4.32,noblie,0
can you sharpen stainless steel knives,70,3.0,32,0,steel_types,How-to Tutorial,4.31,insight,0
best folding karambit,70,3.0,34,0,knife_types,List Post,4.31,noblie,0
georgian knife box,70,3.0,71,0,knife_types,Comparison,4.31,noblie,0
california fixed blade laws,140,16.0,28,0,knife_laws,Comparison,4.31,noblie,0
popular japanese knife brands,70,3.0,21,0,knife_types,Informational Post,4.31,noblie,0
4 inch knife sheath,70,3.0,71,0,knife_types,Informational Post,4.31,noblie,0
d2 steel for knife,70,3.0,49,0,steel_types,Comparison,4.31,shieldon,0
what is the purpose of a paring knife,70,3.0,92,0,knife_types,Informational Post,4.31,insight,0
are butterfly knives illegal in utah,140,16.0,26,0,knife_laws,Informational Post,4.31,shieldon,0
viking steak knife set,70,3.0,62,0,knife_types,Informational Post,4.31,insight,0
hardest steel for knife,70,3.0,34,0,steel_types,Comparison,4.31,noblie,0
honing steel use,210,29.0,35,0,steel_types,Informational Post,4.31,noblie,0
knives chefs use,210,29.0,69,0,cooking,Informational Post,4.31,insight,0
correct angle for sharpening knives,70,3.0,21,0,maintenance,How-to Tutorial,4.31,noblie,0
what are the best set of kitchen knives,210,29.0,40,0,cooking,List Post,4.31,insight,0
knife carry laws in california,140,16.0,48,0,knife_laws,Comparison,4.31,shieldon,0
coarse vs fine knife sharpener,140,16.0,61,0,knife_types,How-to Tutorial,4.31,insight,0
sharpening wood carving knives,70,3.0,42,0,maintenance,How-to Tutorial,4.31,insight,0
what is the difference between an ax and a hatchet,70,3.0,33,0,comparison,Comparison,4.31,shieldon,0
cheap good chef knife,210,29.0,43,0,knife_types,Informational Post,4.31,insight,0
knife sharpening angle tool,70,3.0,25,0,knife_types,How-to Tutorial,4.31,noblie,0
how rare are black swans,140,16.0,28,0,other,Informational Post,4.31,koi,0
types of serrated knives,140,16.0,56,0,other,List Post,4.31,koi,0
are swords legal in california,70,3.0,66,0,knife_laws,Comparison,4.31,shieldon,0
are switchblades illegal in massachusetts,140,16.0,36,0,knife_laws,Informational Post,4.31,shieldon,0
popular kitchen knives,210,29.0,54,0,cooking,Informational Post,4.31,insight,0
are black swans rare,210,29.0,23,0,other,Informational Post,4.31,koi,0
how big of a knife can you carry in california,70,3.0,27,0,knife_laws,Comparison,4.31,shieldon,0
bohler n690 steel,70,3.0,22,0,steel_types,Informational Post,4.31,shieldon,0
texas open carry sword,70,3.0,29,0,knife_laws,Comparison,4.31,noblie,0
d2 steel for knife,70,3.0,32,0,steel_types,Comparison,4.31,noblie,0
legal length of blade in california,70,3.0,55,0,knife_laws,Comparison,4.31,shieldon,0
g sakai knives,70,3.0,46,0,other,Informational Post,4.31,shieldon,0
sheepfoot blade,70,3.0,66,0,knife_types,Informational Post,4.31,shieldon,0
how to remove rust from knives stainless steels,70,3.0,55,0,steel_types,How-to Tutorial,4.31,insight,0
gentleman everyday carry,70,3.0,44,0,knife_laws,Informational Post,4.31,koi,0
super steels for knives,70,3.0,36,0,steel_types,Comparison,4.31,noblie,0
twist damascus pattern,70,3.0,22,0,steel_types,Informational Post,4.31,noblie,0
are switchblades illegal in massachusetts,140,16.0,28,0,knife_laws,Informational Post,4.31,noblie,0
correct angle for sharpening knives,70,3.0,56,0,maintenance,How-to Tutorial,4.31,insight,0
what's an edc knife,70,3.0,90,0,knife_types,Informational Post,4.31,shieldon,0
marcas de cuchillos,70,3.0,65,0,other,Informational Post,4.31,insight,0
chris reeves green beret,70,3.0,23,0,other,Informational Post,4.31,noblie,0
knives made with d2 steel,70,3.0,33,0,steel_types,Informational Post,4.31,noblie,0
best knives set for home chef,210,29.0,78,0,comparison,Comparison,4.31,insight,0
best knife set for hunting,70,3.0,92,0,knife_types,Comparison,4.31,noblie,0
rusted knife,70,3.0,64,0,knife_types,Informational Post,4.31,noblie,0
flower knife,70,3.0,60,0,knife_types,Informational Post,4.31,shieldon,0
popular japanese knife brands,70,3.0,37,0,knife_types,Informational Post,4.31,insight,0
are swords legal in california,70,3.0,27,0,knife_laws,Comparison,4.31,noblie,0
fake trench art,70,3.0,39,0,other,Informational Post,4.31,noblie,0
legal knives in nyc,70,3.0,30,0,knife_laws,Informational Post,4.31,noblie,0
wood machete handle,70,3.0,45,0,other,Informational Post,4.31,noblie,0
legal length of blade in california,70,3.0,82,0,knife_laws,Comparison,4.31,noblie,0
canister metal,140,16.0,38,0,other,Informational Post,4.31,noblie,0
14c28n stainless,70,3.0,61,0,other,Informational Post,4.31,shieldon,0
battoning,70,3.0,29,0,other,Informational Post,4.31,shieldon,0
how to sharpen a damascus steel knife,70,3.0,34,0,steel_types,How-to Tutorial,4.31,insight,0
are butterfly knives illegal in utah,140,16.0,30,0,knife_laws,Informational Post,4.31,noblie,0
how to sharpen a damascus steel knife,70,3.0,30,0,steel_types,How-to Tutorial,4.31,noblie,0
high carbon steel japanese knives,70,3.0,22,0,steel_types,Informational Post,4.31,koi,0
besides fixed blades and removable blades,70,3.0,76,0,knife_types,Informational Post,4.31,noblie,0
western knife set,70,3.0,47,0,knife_types,Informational Post,4.31,koi,0
switchblades illegal in what states,210,29.0,81,0,knife_laws,Informational Post,4.31,shieldon,0
knives made with d2 steel,70,3.0,55,0,steel_types,Informational Post,4.31,shieldon,0
gerber multi tool vs leatherman,70,3.0,27,0,comparison,Comparison,4.31,shieldon,0
lower grit vs higher grit,70,3.0,74,0,maintenance,Comparison,4.31,insight,0
ny legal knife,140,16.0,23,0,knife_laws,Informational Post,4.31,noblie,0
cpm s30v vs magnacut,70,3.0,54,0,steel_types,Comparison,4.31,shieldon,0
knife carry laws in california,140,16.0,23,0,knife_laws,Comparison,4.31,noblie,0
kitchenaid versus cuisinart food processor,140,16.0,94,0,comparison,Comparison,4.31,insight,0
how to remove rust from knives stainless steels,70,3.0,59,0,steel_types,How-to Tutorial,4.31,noblie,0
california fixed blade laws,140,16.0,29,0,knife_laws,Comparison,4.31,shieldon,0
knife plastic sheath,70,3.0,31,0,knife_types,Informational Post,4.31,noblie,0
how do you sharpen electric knife blades,70,3.0,51,0,knife_types,How-to Tutorial,4.31,insight,0
vintage pocket knife identification,70,3.0,33,0,knife_types,Informational Post,4.31,koi,0
zdp-189 knife,70,3.0,24,0,knife_types,Informational Post,4.31,xinzuo,0
cpm s30v vs magnacut,70,3.0,35,0,steel_types,Comparison,4.31,koi,0
what is lanyard used for,70,3.0,52,0,comparison,Comparison,4.31,noblie,0
damascus knives gyuto,70,3.0,67,0,steel_types,Informational Post,4.31,xinzuo,0
what is a legal size knife to carry,110,21.0,4,1,knife_laws,Informational Post,4.3,noblie,0
china knife set,90,23.0,1,5,knife_types,Informational Post,4.3,zhangxiaoquan,0
licking a knife,90,22.0,1,2,knife_types,Informational Post,4.3,koi,0
knife points,90,23.0,3,5,knife_types,Informational Post,4.3,noblie,0
material g10,90,11.0,12,0,other,Informational Post,4.29,koi,0
n690 knife steel,50,4.0,9,0,steel_types,Informational Post,4.29,noblie,0
holder knife,40,4.0,1,0,knife_types,Informational Post,4.29,koi,0
etch knife blade,50,4.0,7,0,knife_types,Informational Post,4.29,noblie,0
s45vn vs m390,50,4.0,6,0,steel_types,Comparison,4.29,noblie,0
yukon hunter knife,50,4.0,7,0,knife_types,Informational Post,4.29,noblie,0
5cr15 steel,90,11.0,15,0,steel_types,Informational Post,4.29,shieldon,0
meaning of hrc,140,39.0,1,0,other,Informational Post,4.29,koi,0
1095 vs d2,50,4.0,5,0,steel_types,Comparison,4.29,noblie,0
king tut dagger worth,90,11.0,11,0,knife_types,Comparison,4.29,noblie,0
can you carry a knife in illinois,50,8.0,3,3,knife_laws,Informational Post,4.29,noblie,0
what is a deba knife,50,8.0,1,3,knife_types,Informational Post,4.29,koi,0
different types of japanese knives,90,11.0,16,0,other,List Post,4.29,koi,0
what does a knife symbolize,40,4.0,1,0,knife_types,How-to Tutorial,4.29,koi,0
cts 204p steel,40,4.0,2,0,steel_types,Informational Post,4.29,noblie,0
knife laws in philadelphia,50,4.0,6,0,knife_laws,Informational Post,4.29,noblie,0
cromova 18 global,40,4.0,1,0,other,Informational Post,4.29,koi,0
when must knife be cleaned and sanitized,50,8.0,1,3,knife_types,Informational Post,4.29,noblie,0
cockatoo nesting,40,4.0,1,0,other,Informational Post,4.29,koi,0
420hc vs 440c,50,4.0,7,0,comparison,Comparison,4.29,noblie,0
jambiya belt,40,4.0,1,0,other,Informational Post,4.29,noblie,0
most sharpest knife,50,4.0,10,0,knife_types,Informational Post,4.29,noblie,0
best steel for knife edge retention,50,4.0,4,0,steel_types,Comparison,4.29,noblie,0
gifts for knife lovers,50,4.0,10,0,knife_types,Comparison,4.29,koi,0
dagger full tang,90,11.0,20,0,knife_types,Informational Post,4.29,koi,0
damascus sphere,40,4.0,1,0,steel_types,Informational Post,4.29,noblie,0
knife laws mississippi,70,15.0,2,2,knife_laws,Informational Post,4.28,noblie,0
knife metals chart,70,15.0,1,2,knife_types,Informational Post,4.28,noblie,0
knife throwing no spin,110,21.0,7,0,knife_types,Informational Post,4.26,noblie,0
nyc knife,110,21.0,6,0,knife_types,Informational Post,4.26,koi,0
custom folding knives,260,51.0,16,0,other,Informational Post,4.26,noblie,0
lock knife,90,22.0,1,1,knife_types,Informational Post,4.26,noblie,0
how to make a paracord lanyard for knife,90,22.0,3,1,knife_types,How-to Tutorial,4.26,noblie,0
how to throw a knife straight,110,21.0,5,0,knife_types,How-to Tutorial,4.26,noblie,0
knife legality,170,38.0,10,0,knife_laws,Informational Post,4.25,noblie,0
scrim shaw,170,30.0,17,0,other,Informational Post,4.25,noblie,0
america's test kitchen knives,170,30.0,14,0,cooking,Review,4.25,insight,0
how long are daggers,50,8.0,1,2,knife_types,Informational Post,4.25,noblie,0
corella bird australia,170,30.0,18,0,comparison,Comparison,4.25,koi,0
nonna knife,170,22.0,28,0,knife_types,Informational Post,4.25,insight,0
cheap knife set,170,22.0,38,0,knife_types,Informational Post,4.25,insight,0
wusthof knives how to sharpen,170,22.0,32,0,maintenance,How-to Tutorial,4.25,insight,0
are balisongs legal in nevada,90,7.0,28,0,knife_laws,Informational Post,4.24,noblie,0
legal knife length in missouri,70,10.0,6,1,knife_laws,Informational Post,4.24,noblie,0
japanese multipurpose knife,90,7.0,47,0,knife_types,Informational Post,4.24,koi,0
are balisongs legal in oregon,90,7.0,42,0,knife_laws,Comparison,4.24,shieldon,0
design a knife,260,39.0,48,0,knife_types,Informational Post,4.24,noblie,0
cooking knife styles,90,7.0,97,0,knife_types,Informational Post,4.24,noblie,0
original bowie knife,140,23.0,17,0,knife_types,Comparison,4.24,noblie,0
small neck knives,90,7.0,76,0,other,Informational Post,4.24,shieldon,0
folding knife lock types,70,17.0,2,9,knife_types,List Post,4.24,noblie,0
ww1 brass knuckle trench knife,70,10.0,4,1,knife_types,Informational Post,4.24,noblie,0
what is full tang,70,16.0,2,5,other,Informational Post,4.24,koi,0
knife carrying laws in michigan,70,10.0,7,1,knife_laws,Informational Post,4.24,noblie,0
are butterfly knives illegal in the us,90,7.0,24,0,knife_laws,Informational Post,4.24,noblie,0
japanese multipurpose knife,90,7.0,60,0,knife_types,Informational Post,4.24,noblie,0
hollow ground knife blade,90,7.0,34,0,knife_types,Informational Post,4.24,koi,0
are balisongs legal in nevada,90,7.0,64,0,knife_laws,Informational Post,4.24,koi,0
types of big knives,70,17.0,1,9,other,List Post,4.24,noblie,0
exacto knife safety,70,15.0,1,1,knife_types,Informational Post,4.24,koi,0
illegal knives in california,90,7.0,34,0,knife_laws,Comparison,4.24,shieldon,0
balisong vs switchblade,90,7.0,61,0,knife_types,Comparison,4.24,noblie,0
are balisongs legal in oregon,90,7.0,27,0,knife_laws,Comparison,4.24,noblie,0
hollow ground knife blade,90,7.0,37,0,knife_types,Informational Post,4.24,insight,0
cleaning knives,90,7.0,49,0,maintenance,Informational Post,4.24,insight,0
are brass knuckles illegal in new hampshire,90,7.0,55,0,knife_laws,News/Update,4.24,noblie,0
chef's kitchen meaning,90,7.0,69,0,cooking,Informational Post,4.24,insight,0
rear belt knife,90,7.0,86,0,knife_types,Informational Post,4.24,noblie,0
who invented a knife,90,7.0,25,0,knife_types,Informational Post,4.24,noblie,0
are butterfly knives illegal in the us,90,7.0,34,0,knife_laws,Informational Post,4.24,shieldon,0
curved arabian sword,90,7.0,32,0,knife_types,Comparison,4.24,noblie,0
cleaver uses,90,7.0,31,0,knife_types,Informational Post,4.24,koi,0
fixed blade knife sheath leather,90,16.0,8,2,knife_types,Informational Post,4.24,noblie,0
mejores marcas de cuchillos de cocina,90,7.0,34,0,comparison,Comparison,4.24,insight,0
how to heat treat a knife,90,7.0,26,0,knife_types,How-to Tutorial,4.24,noblie,0
balistic knives,90,7.0,27,0,other,List Post,4.24,shieldon,0
domestic steel knives,70,15.0,3,1,steel_types,How-to Tutorial,4.24,noblie,0
sharpening serrated edge knives,90,7.0,75,0,maintenance,How-to Tutorial,4.24,insight,0
tanto style blade,110,16.0,14,0,knife_types,Informational Post,4.23,koi,0
how to make leather knife sheath,110,16.0,12,0,knife_types,How-to Tutorial,4.23,noblie,0
knife carry laws in oklahoma,110,16.0,19,0,knife_laws,Informational Post,4.23,shieldon,0
history of the dagger,110,16.0,11,0,knife_types,Comparison,4.23,noblie,0
knives in new york city,110,16.0,15,0,comparison,Comparison,4.23,noblie,0
ohio blade length laws,110,16.0,12,0,knife_laws,Informational Post,4.23,noblie,0
steak with butter or oil,110,29.0,1,0,comparison,Comparison,4.23,koi,0
navajas automaticas,90,22.0,3,0,other,Informational Post,4.22,noblie,0
damascus material,90,22.0,1,0,steel_types,Informational Post,4.22,noblie,0
are switchblades legal in pennsylvania,50,8.0,1,1,knife_laws,Informational Post,4.21,noblie,0
russian projectile knife,90,23.0,2,3,knife_types,Informational Post,4.21,noblie,0
difference between carbon and stainless steel,210,30.0,32,0,steel_types,Comparison,4.2,koi,0
pocket knife easy open,70,10.0,5,0,knife_types,Informational Post,4.2,noblie,0
best affordable knives,210,30.0,56,0,comparison,Comparison,4.2,insight,0
diamond hrc hardness,70,10.0,9,0,other,Informational Post,4.2,noblie,0
karambit for edc,70,10.0,7,0,knife_types,Comparison,4.2,noblie,0
knife shop anchorage,70,10.0,6,0,knife_types,Comparison,4.2,noblie,0
mokume gane metal,70,10.0,9,0,other,Informational Post,4.2,noblie,0
how to tell how old a barlow knife is,70,10.0,6,0,knife_types,How-to Tutorial,4.2,noblie,0
what are the best culinary knives,210,30.0,77,0,other,List Post,4.2,insight,0
wombat habitat,320,51.0,62,0,other,Informational Post,4.2,koi,0
kitchen knives recommendations,210,30.0,73,0,cooking,Informational Post,4.2,insight,0
bunko knife,70,10.0,8,0,knife_types,Informational Post,4.2,koi,0
how to make a parachute cord lanyard,140,30.0,7,0,comparison,How-to Tutorial,4.2,noblie,0
bluefaced honeyeater,110,11.0,36,0,other,Informational Post,4.19,koi,0
sharpening vs honing,110,11.0,41,0,maintenance,How-to Tutorial,4.19,koi,0
legal to carry knife in california,110,11.0,50,0,knife_laws,Comparison,4.19,noblie,0
good blade steel,110,11.0,34,0,steel_types,Informational Post,4.19,koi,0
can you put a knife in a checked bag,110,11.0,35,0,knife_types,Informational Post,4.19,insight,0
top hunting knives,110,11.0,38,0,outdoor,List Post,4.19,noblie,0
chinese chef knives,110,11.0,36,0,cooking,Informational Post,4.19,xinzuo,0
are otf knives legal in colorado,110,11.0,77,0,knife_laws,How-to Tutorial,4.19,shieldon,0
laws on carrying knives in texas,110,11.0,57,0,knife_laws,Informational Post,4.19,shieldon,0
